transformer_alone_preds,transformer_alone_actuals,cnn_alone_preds,cnn_alone_actuals,cnn_transformer_preds,cnn_transformer_actuals,transformer_noSMOTE_preds,transformer_noSMOTE_actuals
9.372784006700384e-06,0.0,1.4652344380936945e-15,0.0,1.3822669586716074e-07,0.0,9.242932719644159e-05,0.0
8.836244660415104e-07,0.0,1.423130494928492e-16,0.0,3.522417557633162e-07,0.0,3.246159030823037e-05,0.0
3.0815186619292945e-05,0.0,5.559738980309703e-08,0.0,1.766432546901342e-06,0.0,0.0018703313544392586,0.0
2.020894953602692e-06,0.0,1.6329285122136634e-16,0.0,3.596565534280671e-08,0.0,2.9614764571306296e-05,0.0
3.26826210539366e-07,0.0,7.257161570754355e-19,0.0,2.813262733880606e-09,0.0,1.6882221416381071e-06,0.0
2.459651815556185e-09,0.0,2.170719709532329e-15,0.0,1.3725903080796796e-08,0.0,2.092024033117923e-06,0.0
1.011038897047456e-08,0.0,5.553554148700372e-25,0.0,4.872140912937084e-09,0.0,6.480176125478465e-06,0.0
3.1793030075277784e-07,0.0,9.582271453832027e-22,0.0,5.838692376802791e-12,0.0,1.8795418554873322e-06,0.0
2.043400854745414e-06,0.0,5.57178590341234e-16,0.0,2.1439554576119235e-09,0.0,1.4872582141833846e-05,0.0
1.1724800297319152e-10,0.0,1.0631740005434876e-18,0.0,2.675544674701769e-09,0.0,5.781069845056663e-08,0.0
1.4627801192546028e-07,0.0,4.8277647693626754e-36,0.0,1.1912885611309321e-07,0.0,1.2279833754291758e-05,0.0
3.0976343623478893e-06,0.0,6.030939094479881e-13,0.0,7.866070177442451e-07,0.0,0.0007403877098113298,0.0
2.632435644045472e-05,0.0,1.5672476649797316e-09,0.0,3.3174825375681394e-07,0.0,0.00048649785458110273,0.0
1.6372113975648972e-07,0.0,1.292359897676099e-22,0.0,2.2147911948877667e-08,0.0,1.6752179362811148e-05,0.0
7.575419180838594e-10,0.0,5.240138231941867e-25,0.0,1.7254667028510084e-08,0.0,1.1770172250180622e-06,0.0
4.8930974827499085e-08,0.0,2.380494690257251e-10,0.0,7.982385419325055e-09,0.0,1.5046825865283608e-06,0.0
2.5892430421947665e-09,0.0,9.362541991686511e-12,0.0,3.1555302371089056e-07,0.0,2.666590489752707e-06,0.0
3.544144178135866e-08,0.0,5.46160121065554e-16,0.0,1.2605203547622068e-09,0.0,4.4110336602898315e-05,0.0
2.7313473083268036e-07,0.0,5.587601067328762e-16,0.0,8.397067485788057e-10,0.0,5.096231689094566e-06,0.0
9.355580488090708e-08,0.0,1.1580227672638698e-21,0.0,8.351490521363303e-08,0.0,1.009794959827559e-05,0.0
2.2205181693379927e-08,0.0,1.5454659191162603e-23,0.0,1.5949393195047182e-10,0.0,4.521355094766477e-07,0.0
4.2252135123987955e-09,0.0,2.3186965999233584e-19,0.0,6.55974385921354e-10,0.0,7.620583630796318e-08,0.0
3.462143922661199e-07,0.0,1.125302685726787e-25,0.0,1.9752260271843625e-08,0.0,6.672024483123096e-06,0.0
5.492769901138672e-07,0.0,1.0025065901118206e-13,0.0,3.1848121579969298e-06,0.0,3.2965835998766124e-06,0.0
0.0002538306871429086,0.0,2.357145782814346e-13,0.0,1.0640398613759315e-05,0.0,0.0020655300468206406,0.0
9.373223974762368e-09,0.0,4.083966046464159e-18,0.0,5.810313896681407e-10,0.0,5.100092039356241e-06,0.0
